Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.113786
100, "Built-in", 0.000016
1000, "Sequential", 0.000134
1000, "Parallel", 0.514190
1000, "Built-in", 0.000195
10000, "Sequential", 0.001520
10000, "Parallel", 12.616005
10000, "Built-in", 0.000742
100000, "Sequential", 0.024733
100000, "Parallel", 25.529079
100000, "Built-in", 0.017881
1000000, "Sequential", 0.237320
1000000, "Parallel", 22.673121
1000000, "Built-in", 0.217997
2500000, "Sequential", 0.596410
2500000, "Parallel", 26.510044
2500000, "Built-in", 0.588320
5000000, "Sequential", 1.253158
5000000, "Parallel", 25.138653
5000000, "Built-in", 1.217363
100, "Sequential", 0.000010
100, "Parallel", 0.112318
100, "Built-in", 0.000015
1000, "Sequential", 0.000118
1000, "Parallel", 0.589454
1000, "Built-in", 0.000181
10000, "Sequential", 0.001522
10000, "Parallel", 7.581589
10000, "Built-in", 0.001582
100000, "Sequential", 0.022309
100000, "Parallel", 19.686940
100000, "Built-in", 0.017745
1000000, "Sequential", 0.245620
1000000, "Parallel", 21.243507
1000000, "Built-in", 0.219360
2500000, "Sequential", 0.638844
2500000, "Parallel", 22.630938
2500000, "Built-in", 0.586240
5000000, "Sequential", 1.276755
100, "Sequential", 0.000010
100, "Parallel", 0.088002
100, "Built-in", 0.000014
1000, "Sequential", 0.000118
1000, "Parallel", 0.431303
1000, "Built-in", 0.000181
10000, "Sequential", 0.001647
10000, "Parallel", 21.039095
10000, "Built-in", 0.001375
100000, "Sequential", 0.021299
100000, "Parallel", 19.443614
100000, "Built-in", 0.018000
1000000, "Sequential", 0.238216
1000000, "Parallel", 26.537061
1000000, "Built-in", 0.217612
2500000, "Sequential", 0.603270
2500000, "Parallel", 21.155365
2500000, "Built-in", 0.584052
5000000, "Sequential", 1.263229
5000000, "Parallel", 21.983482
5000000, "Built-in", 1.219912
100, "Sequential", 0.000009
100, "Parallel", 0.071857
100, "Built-in", 0.000015
1000, "Sequential", 0.000121
1000, "Parallel", 0.638593
1000, "Built-in", 0.000194
10000, "Sequential", 0.001519
10000, "Parallel", 19.817252
10000, "Built-in", 0.001508
100000, "Sequential", 0.025108
100000, "Parallel", 21.648731
100000, "Built-in", 0.017327
1000000, "Sequential", 0.236809
1000000, "Parallel", 19.908093
1000000, "Built-in", 0.216329
2500000, "Sequential", 0.618959
2500000, "Parallel", 25.318268
2500000, "Built-in", 0.578712
5000000, "Sequential", 1.263032
5000000, "Parallel", 19.314801
5000000, "Built-in", 1.220476
100, "Sequential", 0.000010
100, "Parallel", 0.111771
100, "Built-in", 0.000014
1000, "Sequential", 0.000115
1000, "Parallel", 6.009943
1000, "Built-in", 0.000188
10000, "Sequential", 0.001485
10000, "Parallel", 19.394440
10000, "Built-in", 0.001416
100000, "Sequential", 0.022382
100000, "Parallel", 24.566094
100000, "Built-in", 0.017628
1000000, "Sequential", 0.233945
1000000, "Parallel", 20.172533
1000000, "Built-in", 0.216418
2500000, "Sequential", 0.603948
2500000, "Parallel", 23.110648
2500000, "Built-in", 0.588809
5000000, "Sequential", 1.286533
